model,horizon,RMSE,MAE,R2,daylight_RMSE
GRU,10,204.35723355499312,104.22543334960938,0.9605498909950256,287.6325509656374
GRU,11,193.21255094778394,95.87689208984375,0.9703501462936401,271.88869218395234
GRU,12,180.1692888820123,79.44439697265625,0.9791086316108704,245.10392406844488
GRU,13,183.54528349633503,80.64531707763672,0.9794005751609802,247.13964454585184
GRU,14,197.4194851705373,91.47455596923828,0.9723398089408875,272.1049745732334
GRU,15,206.00001896237777,100.61460876464844,0.9623390436172485,290.826623609325
GRU,16,207.1100816896657,107.16143035888672,0.9594781994819641,291.7077679373657
GRU,17,197.91316553920814,101.14830017089844,0.9688848257064819,278.508696004272
GRU,18,183.8393384010887,86.63201141357422,0.9782443642616272,249.74143660243888
GRU,19,184.6467806211362,82.4839096069336,0.9791474938392639,248.32434530015377
GRU,20,198.60144802153383,90.91602325439453,0.9720025062561035,274.0129730049291
GRU,21,208.81860773767264,102.68106079101562,0.9613019824028015,295.0007282829993
GRU,22,211.37608108830574,107.80591583251953,0.957798957824707,298.6615062449461
GRU,23,202.0055305554776,102.48937225341797,0.9675886631011963,284.8965272691122
GRU,24,189.2904411050648,83.42721557617188,0.9769352078437805,258.3917356698933
TSMixer-lite,1,96.9933349836472,52.25779724121094,0.9942464232444763,128.77625642466083
TSMixer-lite,2,125.90727770119169,63.916053771972656,0.9887481331825256,172.89841896688935
TSMixer-lite,3,155.41655216707133,77.40836334228516,0.9785649180412292,218.9968785451062
TSMixer-lite,4,169.90259157823343,84.05792999267578,0.9727353453636169,239.72354683311775
TSMixer-lite,5,173.78681039926477,81.8001937866211,0.9760121703147888,245.31136942414633
TSMixer-lite,6,169.60025381393154,71.20286560058594,0.9814847707748413,231.55016836260344
TSMixer-lite,7,175.90991679869842,72.2854232788086,0.9810749888420105,237.2976440569944
TSMixer-lite,8,186.67542645926915,80.97197723388672,0.975265383720398,257.7093808925085
TSMixer-lite,9,195.30758993828172,92.71407318115234,0.966143786907196,275.9524840212532
TSMixer-lite,10,195.37657948817713,97.62451171875,0.9639410376548767,275.99630602147556
TSMixer-lite,11,188.3339993535421,91.59814453125,0.9718285202980042,265.87887867410603
TSMixer-lite,12,178.16523668353489,79.47593688964844,0.9795708060264587,242.74578394896994
TSMixer-lite,13,182.38822561708855,76.73828887939453,0.9796594381332397,245.59247558200963
TSMixer-lite,14,194.09245944265842,83.99784088134766,0.973264217376709,267.77999365150487
TSMixer-lite,15,201.41917384834542,95.67208099365234,0.9639953970909119,284.42340247419867
TSMixer-lite,16,200.68953401336105,100.80603790283203,0.9619516730308533,283.5365386506649
TSMixer-lite,17,191.69749525619787,96.21820068359375,0.9708085656166077,270.7783918631618
